Location,DateTime,pH,Temp_C,Turbidity_NTU,DO_mgL,Flow_cfs
Upstream_River,2/3/2025 0:00,7.16,10,2.41,10,51.77
Upstream_River,2/3/2025 1:00,7.3,10.12,3.04,9.99,50.05
Upstream_River,2/3/2025 2:00,7.4,11.06,0.98,9.68,50.89
Upstream_River,2/3/2025 3:00,7.21,12.14,1.56,9.26,46.55
Upstream_River,2/3/2025 4:00,7.46,13.63,4.39,9.25,51.04
Upstream_River,2/3/2025 5:00,7.37,14.8,3.44,8.69,50.52
Upstream_River,2/3/2025 6:00,7.4,16.89,0,8.02,45.46
Upstream_River,2/3/2025 7:00,7.23,19.85,2.07,7.47,47.78
Upstream_River,2/3/2025 8:00,7.01,20.89,2.3,7.25,54.37
Upstream_River,2/3/2025 9:00,6.95,22.25,1.88,6.61,48.79
Upstream_River,2/3/2025 10:00,7.63,23.95,0.85,6,52.76
Upstream_River,2/3/2025 11:00,7.21,24.87,1.89,6.17,54.43
Upstream_River,2/3/2025 12:00,7.39,24.7,0,6.35,49.59
Upstream_River,2/3/2025 13:00,7.18,25,1.84,6.26,53.98
Upstream_River,2/3/2025 14:00,7.03,24.2,32.83,6.27,46.1
Upstream_River,2/3/2025 15:00,7.25,22.19,0.09,6.93,54.96
Upstream_River,2/3/2025 16:00,7.31,19.94,1.27,7.67,51.82
Upstream_River,2/3/2025 17:00,7.23,19.06,1.73,7.75,49.54
Upstream_River,2/3/2025 18:00,7.41,18.48,1.12,7.61,54.13
Upstream_River,2/3/2025 19:00,7.2,15.85,1.08,8.35,52.63
Upstream_River,2/3/2025 20:00,7.09,12.91,1.36,9.4,45.19
Upstream_River,2/3/2025 21:00,7.2,13.12,0.67,9.14,53.78
Upstream_River,2/3/2025 22:00,7.3,11.2,1.79,9.99,52.66
Upstream_River,2/3/2025 23:00,7.41,10.65,3.23,9.79,49.23
Upstream_River,2/4/2025 0:00,7.81,10.15,3.81,10,54.95
Upstream_River,2/4/2025 1:00,7.45,10,0.7,10,48.38
Upstream_River,2/4/2025 2:00,7.35,10.7,1.43,10,47.29
Upstream_River,2/4/2025 3:00,7.38,13.02,0.34,9.22,47.14
Upstream_River,2/4/2025 4:00,7.64,14.54,4.59,8.44,53.07
Upstream_River,2/4/2025 5:00,7.29,15.64,2.63,8.3,52.29
Upstream_River,2/4/2025 6:00,7.36,16.83,0,8.03,53.62
Upstream_River,2/4/2025 7:00,7.36,19.44,2.97,7.34,47.5
Upstream_River,2/4/2025 8:00,7.31,21.73,1.25,6.81,54.99
Upstream_River,2/4/2025 9:00,7.17,23.48,44.7,6,46.66
Upstream_River,2/4/2025 10:00,6.99,24.03,3.37,6.33,54.85
Upstream_River,2/4/2025 11:00,7.15,25,0,6.23,54.95
Upstream_River,2/4/2025 12:00,6.75,24.73,0.86,6.58,50.79
Upstream_River,2/4/2025 13:00,6.72,24.53,0.47,6.01,53.53
Upstream_River,2/4/2025 14:00,7.62,25,2.79,6.25,51.75
Upstream_River,2/4/2025 15:00,7.21,23.05,2.05,6.79,51.19
Upstream_River,2/4/2025 16:00,6.85,21.57,2.93,6.86,52.16
Upstream_River,2/4/2025 17:00,7.22,19.94,1.6,7.52,52.52
Upstream_River,2/4/2025 18:00,7.5,17.74,49.86,8.06,47.65
Upstream_River,2/4/2025 19:00,7.29,16.5,0.74,8.19,53.34
Upstream_River,2/4/2025 20:00,7.33,13.55,37.89,8.79,45.08
Upstream_River,2/4/2025 21:00,7.3,11.81,2.75,9.48,46.15
Upstream_River,2/4/2025 22:00,7.5,11.4,0.11,9.43,47.04
Upstream_River,2/4/2025 23:00,7.04,10,4.4,9.78,45.92
Upstream_River,2/5/2025 0:00,6.99,10.19,2.28,9.67,47.62
Upstream_River,2/5/2025 1:00,7.18,10,2.59,10,53.83
Upstream_River,2/5/2025 2:00,7.51,10.65,1.26,9.77,46.27
Upstream_River,2/5/2025 3:00,6.97,13.2,4.06,8.82,47.1
Upstream_River,2/5/2025 4:00,7.2,13.98,3.14,8.8,51.21
Upstream_River,2/5/2025 5:00,7.59,16.51,4.71,8.21,53.81
Upstream_River,2/5/2025 6:00,7.68,17.63,4.45,7.81,53.64
Upstream_River,2/5/2025 7:00,7.29,19.08,4.37,7.83,53.59
Upstream_River,2/5/2025 8:00,7.3,22.16,1.09,7.09,47.28
Upstream_River,2/5/2025 9:00,7.39,22.85,4.58,6.18,47.79
Upstream_River,2/5/2025 10:00,7.01,23.6,33.77,6.47,54.7
Upstream_River,2/5/2025 11:00,7.14,25,5.46,6.17,52.29
Upstream_River,2/5/2025 12:00,7.4,24.73,3.89,6,47.55
Upstream_River,2/5/2025 13:00,7.46,24.74,33.85,6.06,52.19
Upstream_River,2/5/2025 14:00,7.18,23.25,4.01,6.59,48.3
Upstream_River,2/5/2025 15:00,6.97,23.7,1.6,6.51,49.08
Upstream_River,2/5/2025 16:00,6.99,21.49,0,7.16,51.77
Upstream_River,2/5/2025 17:00,7.54,19.04,1.96,7.59,47.87
Upstream_River,2/5/2025 18:00,6.84,17.78,0.42,7.97,47.14
Upstream_River,2/5/2025 19:00,6.56,15.74,2.31,8.54,50.15
Upstream_River,2/5/2025 20:00,7.02,13.41,2.02,8.79,47.25
Upstream_River,2/5/2025 21:00,7.22,12.3,0,9.45,45.73
Upstream_River,2/5/2025 22:00,6.84,11.37,1.42,9.41,47.44
Upstream_River,2/5/2025 23:00,7.18,10.21,2.09,9.85,49.25
Upstream_River,2/6/2025 0:00,7.54,11.12,3.08,9.75,53.48
Upstream_River,2/6/2025 1:00,6.68,10.5,4.01,9.85,54.5
Upstream_River,2/6/2025 2:00,7.52,10.57,0,9.84,50.48
Upstream_River,2/6/2025 3:00,7.6,11.7,1.93,9.7,51.38
Upstream_River,2/6/2025 4:00,7.24,13.15,1.91,9.24,47.86
Upstream_River,2/6/2025 5:00,7.16,15.99,2.7,8.51,51.94
Upstream_River,2/6/2025 6:00,7.17,17.32,0.5,7.99,47.07
Upstream_River,2/6/2025 7:00,6.63,19.96,1.01,6.97,52.66
Upstream_River,2/6/2025 8:00,7.18,21.29,2.06,6.6,54.53
Upstream_River,2/6/2025 9:00,6.77,23.21,1.16,6.39,47.19
Upstream_River,2/6/2025 10:00,7.13,24.04,1.34,6.07,46.65
Upstream_River,2/6/2025 11:00,7.05,24.8,3.48,6.09,50.64
Upstream_River,2/6/2025 12:00,7.62,25,1.53,6.02,48.79
Upstream_River,2/6/2025 13:00,7.26,25,0.18,6.23,53.32
Upstream_River,2/6/2025 14:00,7.2,24.2,0,6,48.5
Upstream_River,2/6/2025 15:00,6.89,22.1,2.1,6.28,46.99
Upstream_River,2/6/2025 16:00,7.37,21.29,1.06,6.76,47.18
Upstream_River,2/6/2025 17:00,7.04,18.63,0.05,7.49,46.15
Upstream_River,2/6/2025 18:00,7.53,16.33,3.28,8.34,51.77
Upstream_River,2/6/2025 19:00,7.49,15.43,4.04,8.69,51.27
Upstream_River,2/6/2025 20:00,7.61,14.26,1.38,8.8,54.84
Upstream_River,2/6/2025 21:00,7.26,11.74,0.78,9.71,48.41
Upstream_River,2/6/2025 22:00,7.53,10.25,4.07,9.86,53.29
Upstream_River,2/6/2025 23:00,7.11,10,3.16,9.97,53.08
Upstream_River,2/7/2025 0:00,6.87,10,1.86,9.84,53.52
Upstream_River,2/7/2025 1:00,7.26,10.07,2.06,10,51.1
Upstream_River,2/7/2025 2:00,7.15,11.09,2.43,9.83,52.98
Upstream_River,2/7/2025 3:00,6.87,13.07,1.96,9.21,54.48
Upstream_River,2/7/2025 4:00,7.61,14.16,2.12,8.58,51.46
Upstream_River,2/7/2025 5:00,6.67,15.61,2.41,8.81,48.06
Upstream_River,2/7/2025 6:00,6.9,17.22,0,8.22,48.31
Upstream_River,2/7/2025 7:00,7.13,19.06,2.71,7.67,46.2
Upstream_River,2/7/2025 8:00,6.7,21.06,2.36,7.28,52.25
Upstream_River,2/7/2025 9:00,7.56,22.71,2.8,6.69,47.27
Upstream_River,2/7/2025 10:00,7.22,24.07,1.38,6.78,50.53
Upstream_River,2/7/2025 11:00,7.15,24.5,0,6.16,50.74
Upstream_River,2/7/2025 12:00,6.88,25,5.39,6.15,49.78
Upstream_River,2/7/2025 13:00,7.33,24.29,1.66,6.14,46.49
Upstream_River,2/7/2025 14:00,6.96,23.83,19.15,6.34,52.91
Upstream_River,2/7/2025 15:00,6.79,22.9,3.8,6.19,54.9
Upstream_River,2/7/2025 16:00,7.41,21.01,3.96,7.03,47.08
Upstream_River,2/7/2025 17:00,6.5,19.62,4.14,7.47,45.03
Upstream_River,2/7/2025 18:00,7.31,16.86,2.62,8.21,52.03
Upstream_River,2/7/2025 19:00,7.67,14.83,42.57,8.8,51.25
Upstream_River,2/7/2025 20:00,6.83,12.76,0,9.18,54.08
Upstream_River,2/7/2025 21:00,7.25,12.03,1.12,9.77,50.69
Upstream_River,2/7/2025 22:00,7.16,11.25,0.89,9.21,50
Upstream_River,2/7/2025 23:00,7.08,10.26,0.8,10,47.5
Upstream_River,2/8/2025 0:00,7.84,10.69,0,9.59,55
Upstream_River,2/8/2025 1:00,7.09,10,2.07,9.77,51.52
Upstream_River,2/8/2025 2:00,7.36,10.85,0.84,9.6,45.91
Upstream_River,2/8/2025 3:00,7.04,12.56,2.84,9.18,51.94
Upstream_River,2/8/2025 4:00,7.03,14.92,0.43,8.62,48.15
Upstream_River,2/8/2025 5:00,6.85,16.75,0,8.15,51.58
Upstream_River,2/8/2025 6:00,6.9,17.36,0.37,8.29,51.25
Upstream_River,2/8/2025 7:00,7.21,19.1,3.45,7.48,51.98
Upstream_River,2/8/2025 8:00,7.78,22.18,2.06,6.87,50.51
Upstream_River,2/8/2025 9:00,7.07,22.73,46.95,6.51,53.32
Upstream_River,2/8/2025 10:00,7.24,23.2,2.02,6.42,54.8
Upstream_River,2/8/2025 11:00,7.76,24.77,3.9,6.27,53.79
Upstream_River,2/8/2025 12:00,7.03,25,1.09,6,50.08
Upstream_River,2/8/2025 13:00,7.56,24.92,0.9,6,49.9
Upstream_River,2/8/2025 14:00,6.62,24.37,3.5,6,49.55
Upstream_River,2/8/2025 15:00,7.08,22.66,2.87,6.49,52.76
Upstream_River,2/8/2025 16:00,7.1,22.05,2.67,6.86,51.64
Upstream_River,2/8/2025 17:00,6.93,20.05,0,7.55,50.9
Upstream_River,2/8/2025 18:00,7.28,18.2,0,7.6,52.22
Upstream_River,2/8/2025 19:00,7.15,14.94,3.17,8.16,48.39
Upstream_River,2/8/2025 20:00,7.35,13.49,0,9.31,48.8
Upstream_River,2/8/2025 21:00,6.72,11.87,4.18,9.54,45.68
Upstream_River,2/8/2025 22:00,7.14,10.24,41.14,9.61,49.34
Upstream_River,2/8/2025 23:00,7.55,10.67,0,9.93,54.03
Upstream_River,2/9/2025 0:00,7.71,10.25,1.41,10,50.31
Upstream_River,2/9/2025 1:00,6.71,10,4.67,10,51.2
Upstream_River,2/9/2025 2:00,7.24,12.11,0.89,9.47,47.55
Upstream_River,2/9/2025 3:00,7.74,12.25,1.61,9.29,49.42
Upstream_River,2/9/2025 4:00,6.97,14.3,0.99,8.92,53.45
Upstream_River,2/9/2025 5:00,7.29,16.03,2.16,8.65,50.75
Upstream_River,2/9/2025 6:00,7.45,17.48,38.04,7.97,51.86
Upstream_River,2/9/2025 7:00,7.58,19.44,1.52,7.05,47.86
Upstream_River,2/9/2025 8:00,7.21,21.46,0.05,6.76,51.78
Upstream_River,2/9/2025 9:00,6.88,22.67,0,6.32,51.46
Upstream_River,2/9/2025 10:00,6.73,23.8,3.51,6.31,47.95
Upstream_River,2/9/2025 11:00,7.07,24.74,1.07,6,50.31
Upstream_River,2/9/2025 12:00,7,25,0.54,6.1,53.06
Upstream_River,2/9/2025 13:00,6.89,24.73,0.64,6.18,54.67
Upstream_River,2/9/2025 14:00,7.16,24.51,48.85,6,53.05
Upstream_River,2/9/2025 15:00,6.85,23.46,0.39,6.36,51.73
Upstream_River,2/9/2025 16:00,7.01,20.66,2.67,7.12,47.34
Upstream_River,2/9/2025 17:00,7.82,19.6,2.91,7.37,45.63
Upstream_River,2/9/2025 18:00,7.49,16.52,1.31,8.32,54.46
Upstream_River,2/9/2025 19:00,7.08,16.11,2.62,8.3,49.54
Upstream_River,2/9/2025 20:00,6.96,13.03,29.67,9.19,49.15
Upstream_River,2/9/2025 21:00,7.03,12.67,3.01,9.34,48.71
Upstream_River,2/9/2025 22:00,7.18,10,3.28,10,50.44
Upstream_River,2/9/2025 23:00,7.47,10.72,1.8,9.85,53.48
Downstream_Plant,2/3/2025 0:00,7.34,10,2.62,9.97,52.87
Downstream_Plant,2/3/2025 1:00,7.16,10.27,2.78,10,47.07
Downstream_Plant,2/3/2025 2:00,7.41,11.22,4.96,9.93,45.03
Downstream_Plant,2/3/2025 3:00,7.72,12.37,1.35,9.37,51.61
Downstream_Plant,2/3/2025 4:00,7.39,13.84,2.04,8.99,46.74
Downstream_Plant,2/3/2025 5:00,7.46,16.34,2.8,8.3,52.78
Downstream_Plant,2/3/2025 6:00,6.86,17.26,1.94,8.12,52.83
Downstream_Plant,2/3/2025 7:00,7.17,19.85,0.65,7.44,49.79
Downstream_Plant,2/3/2025 8:00,7.18,20.63,3.32,7.23,45.81
Downstream_Plant,2/3/2025 9:00,7.14,22.66,1.65,6.45,48.25
Downstream_Plant,2/3/2025 10:00,6.92,24.61,1.94,6.03,52.02
Downstream_Plant,2/3/2025 11:00,7.12,25,0.26,6,49.52
Downstream_Plant,2/3/2025 12:00,6.99,25,3.35,6,49.27
Downstream_Plant,2/3/2025 13:00,7.27,24.5,0.75,6.2,53.32
Downstream_Plant,2/3/2025 14:00,7.15,24.18,2.37,6.32,50.86
Downstream_Plant,2/3/2025 15:00,6.85,22.39,1.49,6.52,52.5
Downstream_Plant,2/3/2025 16:00,7.55,21.79,36.01,6.62,48.52
Downstream_Plant,2/3/2025 17:00,7.02,19.28,2.12,7.62,53.45
Downstream_Plant,2/3/2025 18:00,6.86,18.13,3.02,7.47,54.75
Downstream_Plant,2/3/2025 19:00,7.37,14.93,5.4,8.76,53.29
Downstream_Plant,2/3/2025 20:00,7.18,14.06,1.5,9.09,45.06
Downstream_Plant,2/3/2025 21:00,7.47,11.73,3.33,9.76,45.31
Downstream_Plant,2/3/2025 22:00,7.19,10.66,1.22,9.99,52.22
Downstream_Plant,2/3/2025 23:00,7.27,10,2.83,10,51.18
Downstream_Plant,2/4/2025 0:00,7.09,10,0.39,10,47.73
Downstream_Plant,2/4/2025 1:00,7.2,10.01,1.53,10,49.87
Downstream_Plant,2/4/2025 2:00,7.15,10.87,1.85,9.75,48.01
Downstream_Plant,2/4/2025 3:00,7.24,12.46,1.91,9.37,52.47
Downstream_Plant,2/4/2025 4:00,7.33,14.19,0,8.88,53.06
Downstream_Plant,2/4/2025 5:00,7.74,15.99,5.36,8.46,53.62
Downstream_Plant,2/4/2025 6:00,6.85,17.2,1.35,8.13,45.21
Downstream_Plant,2/4/2025 7:00,6.96,20.24,3.66,6.88,45.88
Downstream_Plant,2/4/2025 8:00,7.33,20.94,0.51,7.05,48.1
Downstream_Plant,2/4/2025 9:00,7.06,23.18,1.26,6.48,50.1
Downstream_Plant,2/4/2025 10:00,7.43,23.74,3.16,6,47.36
Downstream_Plant,2/4/2025 11:00,7.32,25,2.14,6,46.77
Downstream_Plant,2/4/2025 12:00,7.25,24.42,2.1,6,54.24
Downstream_Plant,2/4/2025 13:00,6.81,24.46,3.39,6,46.51
Downstream_Plant,2/4/2025 14:00,7.49,24.22,1.92,6.28,50.07
Downstream_Plant,2/4/2025 15:00,7.08,23.31,2.29,6.38,53.64
Downstream_Plant,2/4/2025 16:00,7.45,20.7,0.15,7.21,52.92
Downstream_Plant,2/4/2025 17:00,7.46,19.11,1.24,7.43,49.76
Downstream_Plant,2/4/2025 18:00,7.26,17.65,3.11,7.85,52.14
Downstream_Plant,2/4/2025 19:00,7.02,15.55,0.51,8.6,50.23
Downstream_Plant,2/4/2025 20:00,7.36,14.16,0.85,8.99,50.98
Downstream_Plant,2/4/2025 21:00,7.31,11.5,3.87,9.77,47.84
Downstream_Plant,2/4/2025 22:00,7.13,10.28,2.94,9.8,50.83
Downstream_Plant,2/4/2025 23:00,7.38,10.62,39.45,9.63,54.38
Downstream_Plant,2/5/2025 0:00,7.45,10,3.36,10,53.29
Downstream_Plant,2/5/2025 1:00,6.79,10.2,0,9.82,48.62
Downstream_Plant,2/5/2025 2:00,6.95,10.8,2.72,10,47.27
Downstream_Plant,2/5/2025 3:00,7.09,12.33,2.46,9.65,53.35
Downstream_Plant,2/5/2025 4:00,7.51,13.85,1.72,8.98,48.77
Downstream_Plant,2/5/2025 5:00,7.04,16.05,4.41,8.43,49.38
Downstream_Plant,2/5/2025 6:00,7.03,16.86,3.2,8.02,52.49
Downstream_Plant,2/5/2025 7:00,7.28,18.85,2.58,7.72,53.35
Downstream_Plant,2/5/2025 8:00,6.89,20.43,31.16,7.58,47.82
Downstream_Plant,2/5/2025 9:00,6.93,23.22,43.59,6.51,47.5
Downstream_Plant,2/5/2025 10:00,7.04,23.35,0,6.75,53.51
Downstream_Plant,2/5/2025 11:00,7.55,24.56,4.48,6.21,49.37
Downstream_Plant,2/5/2025 12:00,7.11,25,1.65,6,45.53
Downstream_Plant,2/5/2025 13:00,7.26,24.38,28.12,6.16,45.28
Downstream_Plant,2/5/2025 14:00,7.72,23.59,2.21,6.27,47.87
Downstream_Plant,2/5/2025 15:00,7.42,22.13,1.55,6.56,45.05
Downstream_Plant,2/5/2025 16:00,7.4,21.43,0,6.85,50.28
Downstream_Plant,2/5/2025 17:00,7.39,19.71,3.5,7.47,52.94
Downstream_Plant,2/5/2025 18:00,7.06,17.56,1.78,7.96,50.15
Downstream_Plant,2/5/2025 19:00,7.21,15.84,1.16,8.34,49.17
Downstream_Plant,2/5/2025 20:00,7.13,13.57,17.37,8.81,54.88
Downstream_Plant,2/5/2025 21:00,7.14,11.73,1.5,9.17,47.54
Downstream_Plant,2/5/2025 22:00,6.56,11.88,2.27,9.47,52.72
Downstream_Plant,2/5/2025 23:00,6.78,10.21,0.66,9.59,46.75
Downstream_Plant,2/6/2025 0:00,7.04,10.1,0.35,9.73,45.63
Downstream_Plant,2/6/2025 1:00,6.8,10.35,0.36,10,45.42
Downstream_Plant,2/6/2025 2:00,7.25,11.55,34.01,9.49,47.53
Downstream_Plant,2/6/2025 3:00,7.2,11.87,2.58,9.11,48.32
Downstream_Plant,2/6/2025 4:00,7.4,14.09,1.87,8.49,48.87
Downstream_Plant,2/6/2025 5:00,7.55,15.46,3.61,8.43,53.01
Downstream_Plant,2/6/2025 6:00,7.18,17.3,2.83,7.83,48.21
Downstream_Plant,2/6/2025 7:00,7.59,19.8,0.74,7.26,51.9
Downstream_Plant,2/6/2025 8:00,7.15,21.37,0,7.54,47.75
Downstream_Plant,2/6/2025 9:00,7.92,22.65,1.07,6.48,53.01
Downstream_Plant,2/6/2025 10:00,6.88,22.88,0,6.35,45.35
Downstream_Plant,2/6/2025 11:00,7.68,25,0.56,6.17,51.05
Downstream_Plant,2/6/2025 12:00,6.88,23.9,2.16,6.03,50.29
Downstream_Plant,2/6/2025 13:00,6.85,25,3.85,6.21,49.99
Downstream_Plant,2/6/2025 14:00,6.91,24.41,1.89,6.37,54.96
Downstream_Plant,2/6/2025 15:00,7.05,23.89,4.11,6.57,49.52
Downstream_Plant,2/6/2025 16:00,7.46,20.93,0.8,6.73,48.2
Downstream_Plant,2/6/2025 17:00,7.14,19.59,4.27,7.2,52.12
Downstream_Plant,2/6/2025 18:00,7.58,17.19,1.24,8.08,47.01
Downstream_Plant,2/6/2025 19:00,7.54,16.24,0.64,8.27,53.04
Downstream_Plant,2/6/2025 20:00,6.81,13.53,0,9.79,52.19
Downstream_Plant,2/6/2025 21:00,6.69,12.06,5.6,9.69,51.42
Downstream_Plant,2/6/2025 22:00,6.77,11.24,3.88,9.43,51.4
Downstream_Plant,2/6/2025 23:00,7.52,11.44,2.43,9.58,46.24
Downstream_Plant,2/7/2025 0:00,7.3,10.25,1.65,9.75,54.41
Downstream_Plant,2/7/2025 1:00,7.66,10,0.75,9.81,46.25
Downstream_Plant,2/7/2025 2:00,7.08,11.59,3.75,9.99,46.54
Downstream_Plant,2/7/2025 3:00,6.94,11.53,3.06,9.38,53.25
Downstream_Plant,2/7/2025 4:00,7.29,13.78,0.07,8.86,52.67
Downstream_Plant,2/7/2025 5:00,6.83,15.92,1.13,8.3,54.57
Downstream_Plant,2/7/2025 6:00,6.66,17.6,1.83,8.05,45.6
Downstream_Plant,2/7/2025 7:00,6.88,19.65,0.98,7.32,52.18
Downstream_Plant,2/7/2025 8:00,7.14,20.26,19.58,7.09,48.19
Downstream_Plant,2/7/2025 9:00,7.48,22.42,2.25,6.82,48.84
Downstream_Plant,2/7/2025 10:00,7.34,23.71,1.25,6.44,50.78
Downstream_Plant,2/7/2025 11:00,7.43,24.42,4.35,6,48.09
Downstream_Plant,2/7/2025 12:00,7.17,25,2.52,6.14,48.53
Downstream_Plant,2/7/2025 13:00,7.16,25,2.55,6,50.37
Downstream_Plant,2/7/2025 14:00,6.92,24.3,0.7,6.14,48.66
Downstream_Plant,2/7/2025 15:00,6.7,22.28,3.14,6.65,50.04
Downstream_Plant,2/7/2025 16:00,7.16,21.29,38.81,6.83,46.19
Downstream_Plant,2/7/2025 17:00,7.5,19.36,0.12,7.9,52.55
Downstream_Plant,2/7/2025 18:00,7.31,18.07,2.78,7.88,48.33
Downstream_Plant,2/7/2025 19:00,6.87,15.65,0.67,8.48,51.13
Downstream_Plant,2/7/2025 20:00,7.68,15.05,1.59,8.83,53.28
Downstream_Plant,2/7/2025 21:00,6.74,12.04,2.58,9.28,51.74
Downstream_Plant,2/7/2025 22:00,7.59,10.92,1.65,9.45,45.27
Downstream_Plant,2/7/2025 23:00,6.5,10.46,2.32,9.62,52.21
Downstream_Plant,2/8/2025 0:00,7.04,10,0,9.74,46.48
Downstream_Plant,2/8/2025 1:00,7.17,10.14,18.85,10,46.51
Downstream_Plant,2/8/2025 2:00,7.23,10.82,0.56,10,52.36
Downstream_Plant,2/8/2025 3:00,6.91,12.45,2.31,9.21,50.25
Downstream_Plant,2/8/2025 4:00,7.59,13.63,2.85,8.93,52.72
Downstream_Plant,2/8/2025 5:00,7.43,15.43,0,8.45,47.47
Downstream_Plant,2/8/2025 6:00,7.07,17.17,25.42,8.04,47.89
Downstream_Plant,2/8/2025 7:00,7.32,20.19,0,7.66,52.95
Downstream_Plant,2/8/2025 8:00,7.18,21.5,0,7.32,53.18
Downstream_Plant,2/8/2025 9:00,7.72,22.55,1.44,6.96,48.46
Downstream_Plant,2/8/2025 10:00,6.98,24.13,2.55,6.47,54.33
Downstream_Plant,2/8/2025 11:00,7.15,24.49,1.04,6.06,51.7
Downstream_Plant,2/8/2025 12:00,6.78,24.86,0,6.2,46.01
Downstream_Plant,2/8/2025 13:00,7.2,24.69,3.38,6,54.35
Downstream_Plant,2/8/2025 14:00,7.45,23.6,3.29,6.33,51.46
Downstream_Plant,2/8/2025 15:00,7.31,22.68,0,6.55,54.37
Downstream_Plant,2/8/2025 16:00,7.36,21.09,3.51,7.44,54.97
Downstream_Plant,2/8/2025 17:00,6.92,19.79,48.67,7.76,45.09
Downstream_Plant,2/8/2025 18:00,6.92,17.28,24.96,8.02,54.89
Downstream_Plant,2/8/2025 19:00,6.86,15.4,44.79,8.43,46.13
Downstream_Plant,2/8/2025 20:00,7.24,14.04,3.42,9.05,52.91
Downstream_Plant,2/8/2025 21:00,7.65,11.43,0.96,9.88,53.27
Downstream_Plant,2/8/2025 22:00,6.7,10.79,1.94,9.83,48.24
Downstream_Plant,2/8/2025 23:00,7.35,10.26,3.17,9.94,48.02
Downstream_Plant,2/9/2025 0:00,6.5,10,1.78,9.97,46.18
Downstream_Plant,2/9/2025 1:00,7.1,10.08,3.43,10,48.11
Downstream_Plant,2/9/2025 2:00,6.91,11.83,4.25,9.41,46.34
Downstream_Plant,2/9/2025 3:00,7.06,12.67,4.04,9.07,49.71
Downstream_Plant,2/9/2025 4:00,7.39,13.03,1.48,9.2,53.73
Downstream_Plant,2/9/2025 5:00,7.7,16.03,2.8,8.62,45.62
Downstream_Plant,2/9/2025 6:00,7.38,16.93,1.47,8.26,50.2
Downstream_Plant,2/9/2025 7:00,7.42,19.69,2.68,7.62,53.09
Downstream_Plant,2/9/2025 8:00,7.39,20.68,2.52,7.36,53.07
Downstream_Plant,2/9/2025 9:00,7.32,22.72,0.52,6.6,45.45
Downstream_Plant,2/9/2025 10:00,6.81,23.89,47.71,6.36,45.69
Downstream_Plant,2/9/2025 11:00,7.27,24.69,2.3,6,54.78
Downstream_Plant,2/9/2025 12:00,7.01,24.59,28.39,6.41,48.76
Downstream_Plant,2/9/2025 13:00,6.72,24.44,0,6.04,46.78
Downstream_Plant,2/9/2025 14:00,6.97,23.4,1.57,6.43,45.23
Downstream_Plant,2/9/2025 15:00,7.22,22.58,4.14,6.28,47.48
Downstream_Plant,2/9/2025 16:00,7.09,21.02,40.38,7.19,46.13
Downstream_Plant,2/9/2025 17:00,7.31,18.96,2.2,7.59,47.06
Downstream_Plant,2/9/2025 18:00,7.26,17.58,1.86,7.92,52.41
Downstream_Plant,2/9/2025 19:00,7.02,15.77,2.34,8.41,50.04
Downstream_Plant,2/9/2025 20:00,7.07,14.64,1.15,9.01,51.73
Downstream_Plant,2/9/2025 21:00,7.09,12.58,1.43,9.19,48.01
Downstream_Plant,2/9/2025 22:00,7.88,11.46,3.79,9.46,49.27
Downstream_Plant,2/9/2025 23:00,6.5,10.29,38.5,9.96,49.16
